PO Number	UPC	Model	ASIN	Description	Sugested Retail	Discount	Cost	Qty Ordered	Qty Confirmed	Delivery beguin date	End Delivery date	Type	Max Delivery Date	Availability/Comment	Error del intento anterior de carga	Vendor Code	DC Delivery	Identificador de consolidación	Condition	PO Date	Freight Term	Payment Method	Special Instructions	Comments	Legal entity identifier	Currency code	External identifier type	Quantity of products per package	Added quantity	Seller Customer ID	Seller SKU List
16TWUSTR	041969479650	350386.0000.08.XXL	B00EPF5CW2	Mizuno 350386.0000.08.XXL Pantalón Pro Premier G2, Blanco, XXL	MXN 1,019.00	0%	MXN 1,019.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	687339221100	GF-TTH-S/M	B00ESAOFFE	GoFit Hooded Thermal Training Suit, Black, Small/Medium, 2 Pieces	MXN 595.00	33%	MXN 398.27	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	008404102146	9335	B00FSVOB8I	Coghlan´s 9335 Camp Towel, 30" x 12"	MXN 239.69	63%	MXN 87.71	1	1	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969111154	312109.RG90.16.1275	B00MERIBZI	Mizuno 312109.RG90.16.1275 Classic Pro Soft Baseball Glove, 12.75-Inch, Right Hand Throw	MXN 4,765.00	0%	MXN 4,765.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969128756	350007.3Y3Y.08.XXL	B00MFY2HMS	Mizuno 350007.3Y3Y.08.XXL Pantalón Premier Players, Carbón Oscuro, Xxl	MXN 899.00	0%	MXN 899.00	8	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969128749	350007.3Y3Y.07.XL	B00MFY2JEY	Mizuno 350007.3Y3Y.07.XL Pantalón Premier Players, Carbón Oscuro, Xl	MXN 894.20	0%	MXN 894.20	8	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969112304	312058.RG90.10.1125	B00MPS02PS	Mizuno 312058.RG90.10.1125 MVP Prime Baseball Glove, 11.25-Inch, Right Hand Throw	MXN 2,279.00	0%	MXN 2,279.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969111307	312029.RG8D.13.1200	B00NP3VB2A	Mizuno 312029.RG8D.13.1200 Global Elite Fastpitch Glove, 12, Right Hand Throw	MXN 8,349.00	0%	MXN 8,349.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969112502	312070.RG90.10.1125	B00NQ5WAKY	Mizuno 312070.RG90.10.1125 MVP Prime Future Baseball Glove, 11.25-Inch, Right Hand Throw	MXN 2,279.00	0%	MXN 2,279.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	056389015708	1570	B00O5VUHLW	Coghlan's 0127.1069 1570 Expander Pegs 10"	MXN 85.32	0%	MXN 85.32	3	3	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969111031	312039.FR84.13.1200	B00P0OPXBW	Mizuno 312039.FR84.13.1200 Classic Pro Soft Baseball Glove, 12-Inch, Left Hand Throw	MXN 4,765.00	0%	MXN 4,765.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969125410	312086.FR84.09.1100	B00P0OSZ7G	Mizuno 312086.FR84.09.1100 Youth Prospect Ball Glove, 11-Inch, Left Hand Throw	MXN 1,185.00	0%	MXN 1,185.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969127865	312112.F51C.09.1100	B00P0OT75A	Mizuno 312112.F51C.09.1100 Youth Prospect Ball Glove, 11-Inch, Navy, Left Hand Throw	MXN 913.00	0%	MXN 913.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969111314	312030.FR8D.15.1250	B00PDPCS66	Mizuno 312030.FR8D.15.1250 Global Elite Fastpitch Glove, 12.5, Left Hand Throw	MXN 8,349.00	0%	MXN 8,349.00	4	4	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
