KeyMonth	calendar_date	Country	Key	Local	ownerships	GCS NGK	GCS Counter 	GAP Capacity 20	GAP Capacity 30	Installed Capacity 20	Installed Capacity 30	Category	Classification Number	Screen Cases	Classification	Screens	Counter Participation	NGK Participation	Annual Ranking	Performance	Total GCS	Type of Store	Special Day Hour Order	Daypart Hour Description	Ownerships Order	RankingMonth	Year	Quarter	Month	Day
PERU-JP1-01/07/2023	16/7/2023 00:00	PERU	PERU-JP1	JP1	A	24	34	-56	-96	80	120	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	4	58,62 %	41,38 %	187	6,00	58	FS	15	22:00 23:00	1	50	2023	Qtr 3	July	1
URUGUAY-AIC-01/07/2023	16/7/2023 00:00	URUGUAY	URUGUAY-AIC	AIC	A	20	20	-60	-100	80	120	Less than 5 GCs	4	with GCs and Screens	Locations with Oportunity	4	50,00 %	50,00 %	251	5,00	40	MS	10	09:00 10:00	1	50	2023	Qtr 3	July	1
URUGUAY-CUS-01/07/2023	16/7/2023 00:00	URUGUAY	URUGUAY-CUS	CUS	A	37	32	-83	-143	120	180	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	6	46,38 %	53,62 %	140	6,17	69	MS	18	17:00 18:00	1	50	2023	Qtr 3	July	1
URUGUAY-PRO-01/07/2023	16/7/2023 00:00	URUGUAY	URUGUAY-PRO	PRO	A	70	20	-50	-110	120	180	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	6	22,22 %	77,78 %	309	11,67	90	FS	18	17:00 18:00	1	50	2023	Qtr 3	July	1
URUGUAY-JBO-01/07/2023	17/7/2023 00:00	URUGUAY	URUGUAY-JBO	JBO	A	44	35	-76	-136	120	180	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	6	44,30 %	55,70 %	50	7,33	79	FS	15	14:00 15:00	1	23	2023	Qtr 3	July	1
URUGUAY-ITL-01/07/2023	18/7/2023 00:00	URUGUAY	URUGUAY-ITL	ITL	A	35	19	-45	-85	80	120	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	4	35,19 %	64,81 %	159	8,75	54	FS	16	15:00 16:00	1	50	2023	Qtr 3	July	1
URUGUAY-PDC-01/07/2023	18/7/2023 00:00	URUGUAY	URUGUAY-PDC	PDC	A	48	23	-72	-132	120	180	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	6	32,39 %	67,61 %	211	8,00	71	FS	22	21:00 22:00	1	50	2023	Qtr 3	July	1
PERU-AEP-01/07/2023	19/7/2023 00:00	PERU	PERU-AEP	AEP	A	13	38	-27	-47	40	60	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	2	74,51 %	25,49 %	185	6,50	51	FC	14	21:00 22:00	1	50	2023	Qtr 3	July	1
ECUADOR-PRT-01/07/2023	20/7/2023 00:00	ECUADOR	ECUADOR-PRT	PRT	A	34	20	-6	-26	40	60	Between 15 and 20 GCs	4	with GCs and Screens	Locations with Oportunity	2	37,04 %	62,96 %	380	17,00	54	FC	12	19:00 20:00	1	50	2023	Qtr 3	July	1
PERU-SM1-01/07/2023	20/7/2023 00:00	PERU	PERU-SM1	SM1	A	45	24	5	-15	40	60	Between 20 and 30 GCs	2	with GCs and Screens	Locales falta NGK	2	34,78 %	65,22 %	175	22,50	69	FC	13	20:00 21:00	1	50	2023	Qtr 3	July	1
ECUADOR-MEC-01/07/2023	21/7/2023 00:00	ECUADOR	ECUADOR-MEC	MEC	A	51	18	11	-9	40	60	Between 20 and 30 GCs	1	with GCs and Screens	Locales Alta Performance	2	26,09 %	73,91 %	360	25,50	69	FC	12	19:00 20:00	1	50	2023	Qtr 3	July	1
COLOMBIA-PLF-01/07/2023	22/7/2023 00:00	COLOMBIA	COLOMBIA-PLF	PLF	A	29	1	-31	-61	60	90	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	3,33 %	96,67 %	50	9,67	30	FC	13	20:00 21:00	1	11	2023	Qtr 3	July	1
ECUADOR-SMR-01/07/2023	22/7/2023 00:00	ECUADOR	ECUADOR-SMR	SMR	A	43	6	-77	-137	120	180	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	6	12,24 %	87,76 %	270	7,17	49	FS	14	21:00 22:00	1	50	2023	Qtr 3	July	1
PERU-MDS-01/07/2023	22/7/2023 00:00	PERU	PERU-MDS	MDS	A	62	20	2	-28	60	90	Between 20 and 30 GCs	1	with GCs and Screens	Locales Alta Performance	3	24,39 %	75,61 %	130	20,67	82	FC	11	18:00 19:00	1	50	2023	Qtr 3	July	1
URUGUAY-CON-01/07/2023	22/7/2023 00:00	URUGUAY	URUGUAY-CON	CON	A	36	12	-44	-84	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	25,00 %	75,00 %	284	9,00	48	FS	17	16:00 17:00	1	50	2023	Qtr 3	July	1
ECUADOR-ORE-01/07/2023	23/7/2023 00:00	ECUADOR	ECUADOR-ORE	ORE	A	45	25	-75	-135	120	180	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	6	35,71 %	64,29 %	288	7,50	70	FS	15	22:00 23:00	1	50	2023	Qtr 3	July	1
PERU-PAC-01/07/2023	23/7/2023 00:00	PERU	PERU-PAC	PAC	A	61	25	-19	-59	80	120	Between 15 and 20 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	29,07 %	70,93 %	241	15,25	86	IS	13	20:00 21:00	1	50	2023	Qtr 3	July	1
URUGUAY-LPS-01/07/2023	23/7/2023 00:00	URUGUAY	URUGUAY-LPS	LPS	A	59	10	-1	-31	60	90	Between 15 and 20 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	14,49 %	85,51 %	139	19,67	69	MS	22	21:00 22:00	1	50	2023	Qtr 3	July	1
URUGUAY-PCS-01/07/2023	23/7/2023 00:00	URUGUAY	URUGUAY-PCS	PCS	A	58	14	-22	-62	80	120	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	19,44 %	80,56 %	223	14,50	72	FC	22	21:00 22:00	1	50	2023	Qtr 3	July	1
COLOMBIA-125-01/07/2023	24/7/2023 00:00	COLOMBIA	COLOMBIA-125	125	A	46	7	-34	-74	80	120	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	13,21 %	86,79 %	427	11,50	53	FS	6	13:00 14:00	1	50	2023	Qtr 3	July	1
ECUADOR-GYA-01/07/2023	25/7/2023 00:00	ECUADOR	ECUADOR-GYA	GYA	A	25	9	-35	-65	60	90	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	26,47 %	73,53 %	296	8,33	34	MS	6	13:00 14:00	1	50	2023	Qtr 3	July	1
COLOMBIA-POB-01/07/2023	27/7/2023 00:00	COLOMBIA	COLOMBIA-POB	POB	A	25	5	-55	-95	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	16,67 %	83,33 %	744	6,25	30	FS	11	18:00 19:00	1	50	2023	Qtr 3	July	1
COLOMBIA-POB-01/07/2023	27/7/2023 00:00	COLOMBIA	COLOMBIA-POB	POB	A	34	23	-46	-86	80	120	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	4	40,35 %	59,65 %	50	8,50	57	FS	14	21:00 22:00	1	1	2023	Qtr 3	July	1
ECUADOR-VTC-01/07/2023	27/7/2023 00:00	ECUADOR	ECUADOR-VTC	VTC	A	8	16	-72	-112	80	120	Less than 5 GCs	4	with GCs and Screens	Locations with Oportunity	4	66,67 %	33,33 %	308	2,00	24	FS	10	17:00 18:00	1	50	2023	Qtr 3	July	1
PERU-JO1-01/07/2023	27/7/2023 00:00	PERU	PERU-JO1	JO1	A	60	25	-120	-210	180	270	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	9	29,41 %	70,59 %	302	6,67	85	MS	13	20:00 21:00	1	50	2023	Qtr 3	July	1
ECUADOR-ORE-01/07/2023	28/7/2023 00:00	ECUADOR	ECUADOR-ORE	ORE	A	61	25	-59	-119	120	180	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	6	29,07 %	70,93 %	50	10,17	86	FS	12	19:00 20:00	1	8	2023	Qtr 3	July	1
COLOMBIA-ATL-01/07/2023	29/7/2023 00:00	COLOMBIA	COLOMBIA-ATL	ATL	A	23	6	-57	-97	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	20,69 %	79,31 %	317	5,75	29	FS	8	15:00 16:00	1	50	2023	Qtr 3	July	1
COLOMBIA-P93-01/07/2023	29/7/2023 00:00	COLOMBIA	COLOMBIA-P93	P93	A	41	6	-119	-199	160	240	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	8	12,77 %	87,23 %	593	5,13	47	FS	8	15:00 16:00	1	50	2023	Qtr 3	July	1
URUGUAY-MSC-01/07/2023	29/7/2023 00:00	URUGUAY	URUGUAY-MSC	MSC	A	79	27	-161	-281	240	360	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	12	25,47 %	74,53 %	157	6,58	106	FS	21	20:00 21:00	1	50	2023	Qtr 3	July	1
URUGUAY-RIV-01/07/2023	29/7/2023 00:00	URUGUAY	URUGUAY-RIV	RIV	A	40	0	-40	-80	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	0,00 %	100,00 %	171	10,00	40	FS	16	15:00 16:00	1	50	2023	Qtr 3	July	1
COLOMBIA-C53-01/07/2023	30/7/2023 00:00	COLOMBIA	COLOMBIA-C53	C53	A	10	18	-70	-110	80	120	Less than 5 GCs	4	with GCs and Screens	Locations with Oportunity	4	64,29 %	35,71 %	329	2,50	28	FS	13	20:00 21:00	1	50	2023	Qtr 3	July	1
COLOMBIA-PLF-01/07/2023	30/7/2023 00:00	COLOMBIA	COLOMBIA-PLF	PLF	A	21	2	-39	-69	60	90	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	8,70 %	91,30 %	215	7,00	23	FC	10	17:00 18:00	1	50	2023	Qtr 3	July	1
COLOMBIA-SAL-01/07/2023	30/7/2023 00:00	COLOMBIA	COLOMBIA-SAL	SAL	A	18	13	-22	-42	40	60	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	2	41,94 %	58,06 %	50	9,00	31	FC	8	15:00 16:00	1	9	2023	Qtr 3	July	1
ECUADOR-AUR-01/07/2023	30/7/2023 00:00	ECUADOR	ECUADOR-AUR	AUR	A	29	27	-51	-91	80	120	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	4	48,21 %	51,79 %	291	7,25	56	FS	17	00:00 01:00	1	50	2023	Qtr 3	July	1
ECUADOR-MSO-01/07/2023	30/7/2023 00:00	ECUADOR	ECUADOR-MSO	MSO	A	82	11	2	-38	80	120	Between 20 and 30 GCs	1	with GCs and Screens	Locales Alta Performance	4	11,83 %	88,17 %	255	20,50	93	MS	9	16:00 17:00	1	50	2023	Qtr 3	July	1
PERU-PUR-01/07/2023	30/7/2023 00:00	PERU	PERU-PUR	PUR	A	38	16	-22	-52	60	90	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	29,63 %	70,37 %	173	12,67	54	FC	9	16:00 17:00	1	50	2023	Qtr 3	July	1
URUGUAY-GNT-01/07/2023	30/7/2023 00:00	URUGUAY	URUGUAY-GNT	GNT	A	29	0	-51	-91	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	0,00 %	100,00 %	894	7,25	29	MS	17	16:00 17:00	1	50	2023	Qtr 3	July	1
URUGUAY-18E-01/07/2023	31/7/2023 00:00	URUGUAY	URUGUAY-18E	18E	A	31	28	-89	-149	120	180	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	6	47,46 %	52,54 %	347	5,17	59	IS	13	12:00 13:00	1	50	2023	Qtr 3	July	1
