Lifecycle Status,Manufacturer,Part Number,Series,Description,Replacement Part Number,Item #,Bin Location,Installed Quantity,Recommended Spares,Storeroom Quantity,PMA Quantity,P2 Quantity,Stash Quantity,Insufficient Spares,Excess Spares,List Price,Installed Total,Recommended Total,Storeroom Total,PMA Total,P2 Total,Stash Total,Insufficient Total,Excess Total
ACTIVE,ROCKWELL,20F11ND052AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,14,1,0,0,0,0,1,0," $	7,031 "," $	98,436 "," $	7,031 ", $	-   , $	-   , $	-   , $	-   ," $	7,031 ", $	-   
ACTIVE,ROCKWELL,20F11ND065AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,5,1,0,0,0,0,1,0," $	8,858 "," $	44,292 "," $	8,858 ", $	-   , $	-   , $	-   , $	-   ," $	8,858 ", $	-   
ACTIVE,ROCKWELL,20F11ND077AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	10,624 "," $	10,624 "," $	10,624 ", $	-   , $	-   , $	-   , $	-   ," $	10,624 ", $	-   
ACTIVE,ROCKWELL,20F11ND2P1AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	1,821 "," $	1,821 "," $	1,821 ", $	-   , $	-   , $	-   , $	-   ," $	1,821 ", $	-   
ACTIVE,ROCKWELL,20F1AND125AA0NNNNN,,POWERFLEX AIR COOLED 753 AC DRIVE,NOT AVAILABLE,,,1,1,1,0,0,0,0,0," $	15,421 "," $	15,421 "," $	15,421 "," $	15,421 ", $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,20G11ND011AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,69003003,,4,1,2,0,0,0,0,1," $	3,941 "," $	15,766 "," $	3,941 "," $	7,883 ", $	-   , $	-   , $	-   , $	-   ," $	3,941 "
ACTIVE,ROCKWELL,20G11ND011JA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,9,1,0,0,0,0,1,0," $	3,941 "," $	35,473 "," $	3,941 ", $	-   , $	-   , $	-   , $	-   ," $	3,941 ", $	-   
ACTIVE,ROCKWELL,20G11ND014AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,24,2,0,1,0,0,1,0," $	4,012 "," $	96,288 "," $	8,024 ", $	-   ," $	4,012 ", $	-   , $	-   ," $	4,012 ", $	-   
ACTIVE,ROCKWELL,20G11ND022AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,5,1,1,0,0,0,0,0," $	4,647 "," $	23,237 "," $	4,647 "," $	4,647 ", $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,20G11ND027AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,24,2,0,1,0,0,1,0," $	5,360 "," $	128,641 "," $	10,720 ", $	-   ," $	5,360 ", $	-   , $	-   ," $	5,360 ", $	-   
ACTIVE,ROCKWELL,20G11ND034AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,10,1,1,0,0,0,0,0," $	6,432 "," $	64,320 "," $	6,432 "," $	6,432 ", $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,20G11ND040AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,5,1,0,0,0,0,1,0," $	7,754 "," $	38,772 "," $	7,754 ", $	-   , $	-   , $	-   , $	-   ," $	7,754 ", $	-   
ACTIVE,ROCKWELL,20G11ND065AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,10,1,0,0,0,0,1,0," $	11,137 "," $	111,373 "," $	11,137 ", $	-   , $	-   , $	-   , $	-   ," $	11,137 ", $	-   
ACTIVE,ROCKWELL,20G11ND065JA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,9,1,0,0,0,0,1,0," $	11,137 "," $	100,236 "," $	11,137 ", $	-   , $	-   , $	-   , $	-   ," $	11,137 ", $	-   
ACTIVE,ROCKWELL,20G11ND077AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	13,134 "," $	13,134 "," $	13,134 ", $	-   , $	-   , $	-   , $	-   ," $	13,134 ", $	-   
ACTIVE,ROCKWELL,20G11ND2P1AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,2,1,1,0,0,0,0,0," $	3,242 "," $	6,483 "," $	3,242 "," $	3,242 ", $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,20G11ND2P1JA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,2,1,0,0,0,0,1,0," $	3,242 "," $	6,483 "," $	3,242 ", $	-   , $	-   , $	-   , $	-   ," $	3,242 ", $	-   
ACTIVE,ROCKWELL,20G11ND5P0AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,4,1,1,0,0,0,0,0," $	3,242 "," $	12,967 "," $	3,242 "," $	3,242 ", $	-   , $	-   , $	-   , $	-   , $	-   
